n,m1_r2,m1_adj_r2,m1_res_coef,m1_res_se,m1_res_p,m2_r2,m2_adj_r2,m2_res_coef,m2_res_se,m2_res_p,m2_geo_coef,m2_geo_se,m2_geo_p,m3_r2,m3_adj_r2,m3_res_coef,m3_res_se,m3_res_p,m3_geo_coef,m3_geo_se,m3_geo_p,m3_transit_coef,m3_transit_se,m3_transit_p,delta_r2_geo,delta_r2_transit,catchment_correlation,city,country,entropy_type
127134,0.48081903875345644,0.48079453502279745,0.49010503728540733,0.00143085723230773,0.0,0.6866197364089899,0.6866024806010109,0.17651152437028372,0.0015536234410704875,0.0,0.6040239476679119,0.002090496119434252,0.0,0.7102460556856645,0.7102278214158158,0.16307528729719678,0.001499734293121216,0.0,0.4440484507005209,0.002551404127445861,0.0,0.2537853536777419,0.0024926868107118917,0.0,0.20580069765553344,0.02362631927667458,0.7608637380434654,US - new_york,US,birth
19366,0.48653992096781107,0.48638078255806916,0.4642076192402955,0.0034365982840505564,0.0,0.5415622364368928,0.5413964618555858,0.23773799085090275,0.005711408351294643,0.0,0.3406366890010162,0.007066948742192012,0.0,0.550451579087083,0.5502657864866127,0.22510711051779708,0.005692637681121216,0.0,0.2982568730489561,0.007325859029095687,0.0,0.13387370218696049,0.006842734088150539,2.0347598959317312e-84,0.05502231546908176,0.008889342650190146,0.5757757887554186,US - washington_dc,US,birth
28002,0.6181768247247125,0.6180949908596776,0.6048267522022257,0.002849397682399513,0.0,0.6920011887059361,0.6919241724996399,0.26604309286200944,0.00486361470615645,0.0,0.44504860774485167,0.0054331241718671534,0.0,0.7050049008762037,0.7049205954858208,0.24278047068077058,0.004805767358647315,0.0,0.312826401881221,0.006514714561129272,0.0,0.18482465007184956,0.005261491788903413,1.4174858511170747e-264,0.0738243639812236,0.013003712170267634,0.8415628343790068,US - atlanta,US,birth
16210,0.04932347723765762,0.04897144001389819,0.20140731197617073,0.007310395533255245,2.456990911455978e-163,0.07281176931094013,0.07241118187637507,0.08122805658010179,0.009344180550611375,3.866229578743221e-18,0.3669957725093127,0.018114860062130343,3.832368636835039e-90,0.07491360969927596,0.07445680511175634,0.07165389786192122,0.009466329838044194,3.952525214222785e-14,0.34822207548646134,0.018357546685438073,2.2331711209302032e-79,0.1150686658744462,0.01896607423847006,1.3315494897211508e-09,0.023488292073282513,0.0021018403883358294,0.328041873752938,Sweden - Stockholm,Sweden,birth
7637,0.1142074616242923,0.11351090130577934,0.2848598308255259,0.009206696423025343,3.997637227315248e-198,0.15049339942610052,0.14971393341430117,0.09620281386725082,0.01380299908050812,3.4411198801117764e-12,0.3744535773975173,0.02074332536849213,2.300288820932616e-71,0.1522375903409806,0.15134848451018978,0.09835330943094078,0.013800406100275402,1.1208538335492105e-12,0.35796939730606425,0.02113699729719364,3.470835027864466e-63,0.13190260714972624,0.03329569659920746,7.514266989137233e-05,0.03628593780180822,0.001744190914880095,0.24813941635445397,Sweden - Göteborg,Sweden,birth
5554,0.07318707272812841,0.07218457091388086,0.19043764676185848,0.00935125559327193,5.725779425374624e-89,0.09028269181628679,0.08913447307173461,0.08018346276067234,0.0142296969965498,1.8374925627653187e-08,0.26889678555323826,0.02633943716461495,2.961253875601511e-24,0.09082450183173285,0.08951279687495262,0.07913631561247314,0.014238398957766305,2.8569762761824994e-08,0.24878114304849674,0.02856449022418019,3.975233183539982e-18,0.11170815122676458,0.0614517756357824,0.069145875195496,0.017095619088158376,0.0005418100154460648,0.582287412231718,Sweden - Malmö,Sweden,birth
3229,0.04388705193813924,0.042106580898917945,0.14618986319815802,0.012250256057288461,3.7260959201104183e-32,0.06524013233950665,0.06320867655756834,0.08812475003278486,0.01387751293162962,2.4523900393923437e-10,0.2533952246045885,0.02954083896592732,1.479457635667189e-17,0.06524397422372519,0.0629215990044052,0.0878378324745448,0.01410193949641817,5.31014004223646e-10,0.25344759405162165,0.029548871764081722,1.4867018161244362e-17,-0.007012577711407175,0.06095744445820564,0.9084201569617617,0.021353080401367408,3.841884218536151e-06,-0.07143893169940134,Sweden - Uppsala,Sweden,birth
2212,0.028096509249122992,0.02545187390014092,0.11955746975185558,0.015768292012845846,4.975592832085401e-14,0.039409706714163106,0.03635883010209373,0.04057906247185983,0.02204900543702632,0.06584341544258011,0.19939407299293066,0.03913657920366437,3.787388826075333e-07,0.03941223689422635,0.0359239472415499,0.040480468995234276,0.022091927102154005,0.06703200879512185,0.19707760060698476,0.04956929768434455,7.240374233740175e-05,0.00437973702541683,0.05749546575938968,0.9392865131890847,0.011313197465040115,2.530180063242682e-06,0.7555022453516823,Sweden - Västerås,Sweden,birth
2376,0.038812253915662676,0.036377840037863596,0.14752994442404713,0.015161738503333197,5.732331659268402e-22,0.0547054812662332,0.051911114023354576,0.06262920758421942,0.020179737538556904,0.0019346009461812582,0.1767000798271745,0.028004215984983656,3.3248173166091454e-10,0.054732434285706844,0.05153761361578102,0.0635126123589913,0.02046815038320092,0.0019383371620574537,0.180642619305603,0.03185669319305967,1.597373217711859e-08,-0.011683781652266134,0.044973632731635405,0.79504695925015,0.015893227350570527,2.695301947364115e-05,0.6470333006022463,Sweden - Örebro,Sweden,birth
2315,0.047459709047928955,0.04498343446139841,0.14772688318170218,0.014040417287403613,2.5470286479581345e-25,0.05869532601701133,0.05583917832828955,0.07354062800567718,0.0198684568264872,0.00021945614553019026,0.17153867480188012,0.03268924561777992,1.6820198761227768e-07,0.059920667833034735,0.05665933450374783,0.06571285480396583,0.02036659791759505,0.0012706853006587185,0.15818572318781676,0.033570503779207186,2.5984058591477354e-06,0.09044018471512061,0.052165745026312604,0.08310351135931539,0.011235616969082374,0.0012253418160234064,0.48622606316580097,Sweden - Linköping,Sweden,birth
2354,0.06379559050982808,0.061402226020292106,0.15997434626547466,0.013111683269445012,3.0532709370560063e-33,0.06769679787547556,0.06491498951449026,0.11449385748519703,0.01954432186698831,5.337665853122449e-09,0.11955181588953678,0.03815673829390529,0.001750603595143785,0.07540630436334461,0.07225204015648179,0.1167771166085636,0.01947434119462417,2.328921655414231e-09,0.14004746643310284,0.03828833125676405,0.0002600883082721336,-0.3217268139737257,0.0727575404618089,1.0229860896153342e-05,0.0039012073656474744,0.007709506487869056,0.21974128207765778,Sweden - Helsingborg,Sweden,birth
1990,0.014939206539042016,0.011958689766089048,0.07526531098761935,0.01782038369531473,2.513674141715976e-05,0.016539005766504578,0.01306563192208754,0.046649395888373135,0.02389963378491221,0.05109221629106688,0.11567192675687465,0.06442018581039716,0.07271279964910479,0.016661846133592007,0.012690768278503017,0.04817282337813111,0.02409953690665107,0.0457544197540247,0.11357799684139991,0.06456976126135702,0.07873243649957647,0.06436935907163388,0.12939510264337625,0.6189173453258543,0.0015997992274625616,0.00012284036708742896,-0.039337976583435415,Sweden - Lund,Sweden,birth
99963,0.016551604268875808,0.016502410695852898,0.019954545988754013,0.004115296154191442,1.243513985898054e-06,0.03325870635463746,0.03320067634381396,0.5461252957593306,0.013139911203081516,0.0,0.030385582773854836,0.004087922301841196,1.069933955871824e-13,0.057439397845962636,0.05737338889978616,0.4828151789672557,0.013034701038259624,2.705780064016724e-298,0.27996607853712163,0.005528705232774016,0.0,0.02738029997220348,0.0040369302680968765,1.188041303716222e-11,0.01670710208576165,0.02418069149132518,0.09023634406521619,US - new_york,US,income
14868,0.005654590561714468,0.005320064451689421,0.05590061088870035,0.009349105654219094,2.2930785878725273e-09,0.12478699034872365,0.1244336306785866,1.0018054699292445,0.022274159168033752,0.0,0.05530340023906222,0.008771491009170598,2.9652070883338364e-10,0.127113288815204,0.12670210395798376,0.9910310072362244,0.022311075082287718,0.0,0.038124907427637744,0.006058228041434959,3.1995742594302013e-10,0.0542018433735334,0.00876186942475581,6.328498012956095e-10,0.11913239978700918,0.0023262984664803588,0.07849889465207631,US - washington_dc,US,income
26528,0.011630308427395875,0.01144397826911725,-0.006988788211420349,0.007568286143760059,0.3557911696547112,0.05630877289855396,0.056095276146447715,0.9137026555032469,0.02578551316527486,9.233600092846116e-269,-0.005467580454735277,0.007395512877493632,0.4597250073898218,0.08490662394092541,0.0846650834570486,0.7561848449399293,0.025975095522515812,1.952025756699535e-183,0.14105555248374202,0.004899699353337627,1.7199881669469115e-179,-0.01237030289574026,0.007286676394134666,0.08958358412103225,0.044678464471158086,0.028597851042371447,0.21248387262154464,US - atlanta,US,income
16210,0.01747426712691602,0.01711043608345264,0.06018495802589685,0.004145774033502881,1.8724410311036898e-47,0.02676879351133865,0.026348313419657265,0.03707642667160371,0.004525158637345444,2.7274771250984297e-16,0.1172895933905238,0.009429084929606545,2.3241594814491396e-35,0.029047489354278477,0.02856803622884385,0.03278223287418314,0.004573332221018252,7.930897189169247e-13,0.11182386707992009,0.009459950722638975,4.131447228857302e-32,0.15095664685577503,0.024481450399183976,7.162519987609396e-10,0.00929452638442263,0.0022786958429398263,0.16495420046610237,Sweden - Stockholm,Sweden,income
7637,0.00807065326649059,0.007290630189111691,0.04842084357781218,0.006695187807736328,5.214031856057238e-13,0.01760145786762024,0.01670005666236052,0.026068696066772645,0.007151996379652608,0.0002692181909349427,0.1461981893862685,0.01699367304948904,9.319112044389213e-18,0.017929966824442922,0.01690000349651888,0.026730148635351725,0.007163247767997321,0.00019167376673662873,0.14059287850182045,0.017350497716467152,6.191880248542523e-16,0.10099205200822325,0.0632236371518108,0.11022287683891943,0.00953080460112965,0.0003285089568226818,0.19665543961279497,Sweden - Göteborg,Sweden,income
5554,0.007769036786266614,0.006695774522108899,0.03416847597667472,0.0057680034525865835,3.3350699927127408e-09,0.013228198892355492,0.011982724206500261,0.01965905114099087,0.00632093021732891,0.0018794001052774376,0.06654324440069104,0.012013219401484341,3.179009048063587e-08,0.013253949675118504,0.011830330486191754,0.01921069966039113,0.006430355835279633,0.0028249918180279997,0.06812341134695998,0.012711997276335285,8.707155789388832e-08,-0.020711249355372274,0.05444562692492394,0.7036612740765197,0.005459162106088877,2.5750782763012126e-05,0.2991483554974057,Sweden - Malmö,Sweden,income
3229,0.009907191190974274,0.008063442943657684,0.0349439570410246,0.007014765982838095,6.642025218776871e-07,0.010843552331334383,0.008693879827863182,0.031202352282548418,0.007332604198016817,2.147294864047302e-05,0.04582976565916397,0.02624599709067027,0.0808781174849525,0.01212301524422077,0.00966866248706355,0.030462445446687525,0.007337948339595145,3.390774335967222e-05,0.024762054609709594,0.02818869502539413,0.37977096329871457,0.2616925218317192,0.12814479165708875,0.04121669472297456,0.0009363611403601091,0.0012794629128863866,0.39239904082400806,Sweden - Uppsala,Sweden,income
2212,0.009066147841631733,0.0063697291963028535,0.04432695299414441,0.01203604406137449,0.00023618796479494888,0.009935756485188407,0.006791269323390026,0.03291239925295031,0.014563985141896694,0.02392790385735325,0.037943634215480415,0.02727111495259415,0.1642600885986715,0.02304522522420205,0.019497500213667918,0.036806628203066794,0.014488240783861989,0.011139157899616349,-0.020624234958859233,0.029158798954581705,0.47945026584430517,0.28476193510687153,0.052374437385259924,6.016230416323334e-08,0.0008696086435566741,0.013109468739013641,0.40825236586040536,Sweden - Västerås,Sweden,income
2376,0.003156530489876297,0.0006318108541393253,0.01808031290116041,0.008656557135791857,0.0368478849367785,0.006336706002178394,0.003399356737826653,0.0075488516399673244,0.009453208892538522,0.4246319796857576,0.053928111874483875,0.019589278702220426,0.00595132951089056,0.0064097378796975635,0.0030515958868955195,0.007294109261579251,0.009474562413853272,0.44145834833518705,0.05181389431726302,0.02023772786331766,0.010520878291811494,0.028016203174047405,0.06716725195794607,0.67663500668302,0.003180175512302097,7.303187751916962e-05,0.29586478431515423,Sweden - Örebro,Sweden,income
2315,0.04660461664232152,0.044126119111928985,0.06955628962037905,0.006728552146677104,1.6195730055713826e-24,0.05265484824763622,0.04978037227786314,0.04417436446749434,0.009419735088124815,2.8978596258984654e-06,0.06094205668068753,0.015876743479883822,0.00012714417390435358,0.052761063217775406,0.04947489171115871,0.044276643264993254,0.009423395944872268,2.7738613186931464e-06,0.06285847974803005,0.016320403881950118,0.00012058294861632859,-0.029526172650548688,0.05806499710415999,0.6111499128578107,0.006050231605314704,0.00010621497013918457,0.33215424280205114,Sweden - Linköping,Sweden,income
2354,0.006780653811998438,0.004241533199672909,0.033397005879306774,0.009907543437179249,0.0007614549247741424,0.008958733225234883,0.006001662096751015,0.01663626756840131,0.012347907800569389,0.17801553103582218,0.0638311218722265,0.02811107720681938,0.02325694714939103,0.00896404152649466,0.005583108619122368,0.016866224211639746,0.012519785843691638,0.1780570793129487,0.06268585554380479,0.02991638837838681,0.03624525007600531,0.0063068852559808875,0.05627434267554956,0.9107744010158247,0.0021780794132364445,5.308301259776549e-06,0.3178157512410864,Sweden - Helsingborg,Sweden,income
1990,0.011845260675844571,0.00885538249332074,0.03854647938216904,0.010719088227677588,0.0003309760870928652,0.019462024782679777,0.015998974416120082,0.013475273724679937,0.012445766041487016,0.2790646433116096,0.16917272905288883,0.04311471170797686,9.01421588269344e-05,0.019588846256755166,0.015629588694945018,0.013794935338864889,0.01246410846221918,0.2685265777111074,0.16395331150943093,0.04433831753525618,0.00022341224835479282,-0.04864811595143692,0.09610179753513674,0.6127624598097754,0.0076167641068352054,0.00012682147407538924,-0.262627587434736,Sweden - Lund,Sweden,income
